S/N,University,Country,Official Website,Popular Courses / Degrees,Degree Levels,Typical IELTS,Typical SAT (Accepted),Country Flag URL,University Logo URL
14,University of Wollongong,Australia,https://www.uow.edu.au,"Engineering, IT, Arts","Bachelor’s, Master’s, PhD",6,~1050,https://upload.wikimedia.org/wikipedia/commons/b/b9/Flag_of_Australia.svg,https://upload.wikimedia.org/wikipedia/commons/f/fb/UOW_logo.svg
15,Curtin University,Australia,https://www.curtin.edu.au,"Engineering, Health Sciences, Business","Bachelor’s, Master’s, PhD",6,~1000–1150,https://upload.wikimedia.org/wikipedia/commons/b/b9/Flag_of_Australia.svg,https://upload.wikimedia.org/wikipedia/commons/6/62/Curtin_University_logo.svg
16,Griffith University,Australia,https://www.griffith.edu.au,"Arts, Health Sciences, Engineering","Bachelor’s, Master’s, PhD",6.5,~1050–1200,https://upload.wikimedia.org/wikipedia/commons/b/b9/Flag_of_Australia.svg,https://upload.wikimedia.org/wikipedia/commons/9/9a/Griffith_University_logo.svg
17,La Trobe University,Australia,https://www.latrobe.edu.au,"Education, Business, IT","Bachelor’s, Master’s, PhD",6,~1000–1150,https://upload.wikimedia.org/wikipedia/commons/b/b9/Flag_of_Australia.svg,https://upload.wikimedia.org/wikipedia/commons/e/eb/LaTrobe_University_logo.svg
18,Swinburne University of Technology,Australia,https://www.swinburne.edu.au,"IT, Engineering, Design","Bachelor’s, Master’s, PhD",6,~1000–1150,https://upload.wikimedia.org/wikipedia/commons/b/b9/Flag_of_Australia.svg,https://upload.wikimedia.org/wikipedia/commons/6/6b/Swinburne_University_of_Technology_logo.svg
19,University of Newcastle,Australia,https://www.newcastle.edu.au,"Law, Business, Engineering","Bachelor’s, Master’s, PhD",6,~1000–1150,https://upload.wikimedia.org/wikipedia/commons/b/b9/Flag_of_Australia.svg,https://upload.wikimedia.org/wikipedia/commons/8/8d/University_of_Newcastle_logo.svg
20,University of South Australia,Australia,https://www.unisa.edu.au,"Business, IT, Health Sciences","Bachelor’s, Master’s, PhD",6,~1000–1150,https://upload.wikimedia.org/wikipedia/commons/b/b9/Flag_of_Australia.svg,https://upload.wikimedia.org/wikipedia/commons/4/41/UniSA_logo.svg
21,Western Sydney University,Australia,https://www.westernsydney.edu.au,"Social Sciences, Business, IT","Bachelor’s, Master’s, PhD",6,~1000–1150,https://upload.wikimedia.org/wikipedia/commons/b/b9/Flag_of_Australia.svg,https://upload.wikimedia.org/wikipedia/commons/5/5f/Western_Sydney_University_logo.svg
22,Australian Catholic University,Australia,https://www.acu.edu.au,"Education, Health, Arts","Bachelor’s, Master’s, PhD",6,~1000,https://upload.wikimedia.org/wikipedia/commons/b/b9/Flag_of_Australia.svg,https://upload.wikimedia.org/wikipedia/commons/8/84/ACU_logo.svg
23,Charles Sturt University,Australia,https://www.csu.edu.au,"Agriculture, Education, IT","Bachelor’s, Master’s, PhD",6,~1000,https://upload.wikimedia.org/wikipedia/commons/b/b9/Flag_of_Australia.svg,https://upload.wikimedia.org/wikipedia/commons/f/f1/Charles_Sturt_University_logo.svg
24,Charles Darwin University,Australia,https://www.cdu.edu.au,"Environmental Science, IT","Bachelor’s, Master’s, PhD",6,~1000,https://upload.wikimedia.org/wikipedia/commons/b/b9/Flag_of_Australia.svg,https://upload.wikimedia.org/wikipedia/commons/0/07/CDU_Logo.svg
25,Bond University,Australia,https://www.bond.edu.au,"Business, Law, IT","Bachelor’s, Master’s, PhD",6.5,~1050–1200,https://upload.wikimedia.org/wikipedia/commons/b/b9/Flag_of_Australia.svg,https://upload.wikimedia.org/wikipedia/commons/6/66/Bond_University_logo.svg
,,,,,,,,,
26,Southern Cross University,Australia,https://www.scu.edu.au,"Business, IT, Tourism, Education","Bachelor’s, Master’s, PhD",6,~1000,https://upload.wikimedia.org/wikipedia/commons/b/b9/Flag_of_Australia.svg,https://upload.wikimedia.org/wikipedia/commons/9/9d/SCU_logo.svg
27,Victoria University,Australia,https://www.vu.edu.au,"Business, IT, Sport Science","Bachelor’s, Master’s, PhD",6,~1000–1150,https://upload.wikimedia.org/wikipedia/commons/b/b9/Flag_of_Australia.svg,https://upload.wikimedia.org/wikipedia/commons/9/9e/Victoria_University_logo.svg
28,University of Tasmania,Australia,https://www.utas.edu.au,"Marine Science, Law, Arts","Bachelor’s, Master’s, PhD",6,~1000–1150,https://upload.wikimedia.org/wikipedia/commons/b/b9/Flag_of_Australia.svg,https://upload.wikimedia.org/wikipedia/commons/5/5c/UTAS_Logo.svg
29,University of Canberra,Australia,https://www.canberra.edu.au,"Health, Dev Studies, Business","Bachelor’s, Master’s, PhD",6,~1000–1150,https://upload.wikimedia.org/wikipedia/commons/b/b9/Flag_of_Australia.svg,https://upload.wikimedia.org/wikipedia/commons/7/7f/UC_Logo.svg
30,University of the Sunshine Coast,Australia,https://www.usc.edu.au,"Business, IT, Health","Bachelor’s, Master’s, PhD",6,~1000,https://upload.wikimedia.org/wikipedia/commons/b/b9/Flag_of_Australia.svg,https://upload.wikimedia.org/wikipedia/commons/d/dd/USC_logo.svg
31,University of Southern Queensland,Australia,https://www.unisq.edu.au,"Education, Business, IT","Bachelor’s, Master’s, PhD",6,~1000,https://upload.wikimedia.org/wikipedia/commons/b/b9/Flag_of_Australia.svg,https://upload.wikimedia.org/wikipedia/commons/4/47/University_of_Southern_Queensland_Logo.svg
32,Edith Cowan University,Australia,https://www.ecu.edu.au,"Arts, Education, IT, Health","Bachelor’s, Master’s, PhD",6,~1000,https://upload.wikimedia.org/wikipedia/commons/b/b9/Flag_of_Australia.svg,https://upload.wikimedia.org/wikipedia/commons/6/65/Edith_Cowan_University_logo.svg
33,Central Queensland University,Australia,https://www.cqu.edu.au,"Engineering, Business, IT","Bachelor’s, Master’s, PhD",6,~1000,https://upload.wikimedia.org/wikipedia/commons/b/b9/Flag_of_Australia.svg,https://upload.wikimedia.org/wikipedia/commons/0/0f/Central_Queensland_University_logo.svg
34,Federation University Australia,Australia,https://federation.edu.au,"Business, IT, Education","Bachelor’s, Master’s, PhD",6,~1000,https://upload.wikimedia.org/wikipedia/commons/b/b9/Flag_of_Australia.svg,https://upload.wikimedia.org/wikipedia/commons/9/9c/Federation_University_logo.svg
35,Australian National University (ANU College),Australia,https://www.anu.edu.au/college,"Foundation Studies, Pathways","Diploma, Pre‑Bachelor",6,—,https://upload.wikimedia.org/wikipedia/commons/b/b9/Flag_of_Australia.svg,https://upload.wikimedia.org/wikipedia/commons/4/46/ANU_logo.png
36,Torrens University Australia,Australia,https://www.torrens.edu.au,"Business, Design, IT, Health","Bachelor’s, Master’s",6,—,https://upload.wikimedia.org/wikipedia/commons/b/b9/Flag_of_Australia.svg,https://upload.wikimedia.org/wikipedia/commons/3/3a/Torrens_University_Australia_logo.png
37,Kaplan Business School,Australia,https://www.kbs.edu.au,"Business, Accounting","Bachelor’s, Master’s",6,—,https://upload.wikimedia.org/wikipedia/commons/b/b9/Flag_of_Australia.svg,https://upload.wikimedia.org/wikipedia/commons/e/ef/Kaplan_Business_School_logo.png
38,International College of Management Sydney,Australia,https://www.icms.edu.au,"Business, Hospitality",Bachelor’s,6.5,—,https://upload.wikimedia.org/wikipedia/commons/b/b9/Flag_of_Australia.svg,https://upload.wikimedia.org/wikipedia/commons/4/48/ICMS_logo.png
39,Australian Institute of Business,Australia,https://aib.edu.au,"Business, Marketing","Bachelor’s, Master’s",6,—,https://upload.wikimedia.org/wikipedia/commons/b/b9/Flag_of_Australia.svg,https://upload.wikimedia.org/wikipedia/commons/d/d9/Australian_Institute_of_Business_logo.png
40,SAE Creative Media Institute,Australia,https://www.sae.edu,"Animation, Audio, Film","Diploma, Bachelor’s",6,—,https://upload.wikimedia.org/wikipedia/commons/b/b9/Flag_of_Australia.svg,https://upload.wikimedia.org/wikipedia/commons/a/af/SAE_Institute_logo.png
41,William Blue College of Hospitality Management,Australia,https://www.williamblue.edu.au,"Hospitality, Culinary Arts",Bachelor’s,6,—,https://upload.wikimedia.org/wikipedia/commons/b/b9/Flag_of_Australia.svg,https://upload.wikimedia.org/wikipedia/commons/2/27/William_Blue_College_logo.png
42,Melbourne Polytechnic,Australia,https://www.melbournepolytechnic.edu.au,"Trades, Business, IT","Diploma, Cert",5.5–6.0,—,https://upload.wikimedia.org/wikipedia/commons/b/b9/Flag_of_Australia.svg,https://upload.wikimedia.org/wikipedia/commons/7/7b/Melbourne_Polytechnic_logo.png
43,International College of Queensland (ICQ),Australia,https://www.icq.edu.au,"Business, Tourism",Diploma,6,—,https://upload.wikimedia.org/wikipedia/commons/b/b9/Flag_of_Australia.svg,https://upload.wikimedia.org/wikipedia/commons/6/64/ICQ_logo.png
44,SAE Creative Media Institute,Australia,https://www.sae.edu,"Media, Animation, Audio","Bachelor’s, Diploma",6,—,https://upload.wikimedia.org/wikipedia/commons/b/b9/Flag_of_Australia.svg,https://upload.wikimedia.org/wikipedia/commons/a/af/SAE_Institute_logo.png
45,Torrens University Australia (Blue Mountains),Australia,https://www.torrens.edu.au/campuses/blue-mountains,"Business, IT, Hospitality","Bachelor’s, Master’s",6,—,https://upload.wikimedia.org/wikipedia/commons/b/b9/Flag_of_Australia.svg,https://upload.wikimedia.org/wikipedia/commons/3/3a/Torrens_University_Australia_logo.png
46,Kaplan International College,Australia,https://www.kaplaninternational.com,Foundation Studies,Diploma,5.5,—,https://upload.wikimedia.org/wikipedia/commons/b/b9/Flag_of_Australia.svg,https://upload.wikimedia.org/wikipedia/commons/e/ef/Kaplan_Business_School_logo.png
47,ICMS Sydney – Events Management,Australia,https://www.icms.edu.au,"Events, Hospitality",Bachelor’s,6.5,—,https://upload.wikimedia.org/wikipedia/commons/b/b9/Flag_of_Australia.svg,https://upload.wikimedia.org/wikipedia/commons/4/48/ICMS_logo.png
48,"International College of Management, Sydney",Australia,https://www.icms.edu.au,"Management, Tourism",Bachelor’s,6.5,—,https://upload.wikimedia.org/wikipedia/commons/b/b9/Flag_of_Australia.svg,https://upload.wikimedia.org/wikipedia/commons/4/48/ICMS_logo.png
49,Holmes Institute,Australia,https://www.holmes.edu.au,"Business, IT, Accounting","Bachelor’s, Master’s",6,—,https://upload.wikimedia.org/wikipedia/commons/b/b9/Flag_of_Australia.svg,https://upload.wikimedia.org/wikipedia/commons/1/19/Holmes_Institute_logo.png
50,Le Cordon Bleu Australia,Australia,https://www.cordonbleu.edu,"Culinary Arts, Hospitality","Diploma, Bachelor’s",6,—,https://upload.wikimedia.org/wikipedia/commons/b/b9/Flag_of_Australia.svg,https://upload.wikimedia.org/wikipedia/commons/d/db/Le_Cordon_Bleu_logo.svg
51,University of Michigan‑Ann Arbor,USA,https://umich.edu,"Engineering, Business, Medicine, Law, IT","Bachelor’s, Master’s, PhD",7,1300–1500,https://upload.wikimedia.org/wikipedia/commons/a/a4/Flag_of_the_United_States.svg,https://upload.wikimedia.org/wikipedia/commons/8/8e/U-M_Logo.png
52,"University of California, Los Angeles (UCLA)",USA,https://www.ucla.edu,"Film, Engineering, Business, Science","Bachelor’s, Master’s, PhD",7,1300–1480,https://upload.wikimedia.org/wikipedia/commons/a/a4/Flag_of_the_United_States.svg,https://upload.wikimedia.org/wikipedia/commons/3/3e/UCLA_logo.svg
53,New York University (NYU),USA,https://www.nyu.edu,"Arts, Business, Law, IT","Bachelor’s, Master’s, PhD",6.5–7.0,1300–1450,https://upload.wikimedia.org/wikipedia/commons/a/a4/Flag_of_the_United_States.svg,https://upload.wikimedia.org/wikipedia/commons/7/71/NYU_logo.svg
54,Northwestern University,USA,https://www.northwestern.edu,"Med, Eng, Business, Law","Bachelor’s, Master’s, PhD",7,1350–1520,https://upload.wikimedia.org/wikipedia/commons/a/a4/Flag_of_the_United_States.svg,https://upload.wikimedia.org/wikipedia/commons/3/3c/Northwestern_U_logo.svg
55,Carnegie Mellon University,USA,https://www.cmu.edu,"Computer Science, Eng, Business","Bachelor’s, Master’s, PhD",7.5,1400–1550,https://upload.wikimedia.org/wikipedia/commons/a/a4/Flag_of_the_United_States.svg,https://upload.wikimedia.org/wikipedia/commons/3/3b/Carnegie_Mellon_logo.svg
56,Duke University,USA,https://www.duke.edu,"Law, Business, Medicine","Bachelor’s, Master’s, PhD",7,1350–1520,https://upload.wikimedia.org/wikipedia/commons/a/a4/Flag_of_the_United_States.svg,https://upload.wikimedia.org/wikipedia/commons/6/69/Duke_University_logo.svg
57,University of Texas at Austin,USA,https://www.utexas.edu,"Engineering, Business, Architecture","Bachelor’s, Master’s, PhD",6.5–7.0,1250–1450,https://upload.wikimedia.org/wikipedia/commons/a/a4/Flag_of_the_United_States.svg,https://upload.wikimedia.org/wikipedia/commons/4/4b/UTexas_logo.svg
58,"University of California, San Diego (UCSD)",USA,https://www.ucsd.edu,"Bio, Eng, IT, Marine Science","Bachelor’s, Master’s, PhD",6.5–7.0,1250–1450,https://upload.wikimedia.org/wikipedia/commons/a/a4/Flag_of_the_United_States.svg,https://upload.wikimedia.org/wikipedia/commons/2/2b/UCSD_logo.svg
59,University of Washington (UW),USA,https://www.washington.edu,"Computer Science, Medicine, Business","Bachelor’s, Master’s, PhD",6.5–7.0,1250–1450,https://upload.wikimedia.org/wikipedia/commons/a/a4/Flag_of_the_United_States.svg,https://upload.wikimedia.org/wikipedia/commons/2/21/UW_logo.svg
60,University of Illinois at Urbana‑Champaign,USA,https://illinois.edu,"Engineering, CS, Business","Bachelor’s, Master’s, PhD",6.5–7.0,1300–1480,https://upload.wikimedia.org/wikipedia/commons/a/a4/Flag_of_the_United_States.svg,https://upload.wikimedia.org/wikipedia/commons/5/5b/UIUC_logo.svg
61,"University of California, Santa Barbara (UCSB)",USA,https://www.ucsb.edu,"Physics, Engineering, Business","Bachelor’s, Master’s, PhD",6.5–7.0,1250–1450,https://upload.wikimedia.org/wikipedia/commons/a/a4/Flag_of_the_United_States.svg,https://upload.wikimedia.org/wikipedia/commons/5/56/UCSB_logo.svg
62,Emory University,USA,https://www.emory.edu,"Medicine, Business, Arts","Bachelor’s, Master’s, PhD",7,1350–1520,https://upload.wikimedia.org/wikipedia/commons/a/a4/Flag_of_the_United_States.svg,https://upload.wikimedia.org/wikipedia/commons/9/92/Emory_University_logo.svg
63,University of Virginia (UVA),USA,https://www.virginia.edu,"Law, Engineering, Arts","Bachelor’s, Master’s, PhD",6.5–7.0,1300–1500,https://upload.wikimedia.org/wikipedia/commons/a/a4/Flag_of_the_United_States.svg,https://upload.wikimedia.org/wikipedia/commons/f/f5/UVA_logo.svg
64,University of Wisconsin‑Madison,USA,https://www.wisc.edu,"Research Sciences, Business","Bachelor’s, Master’s, PhD",6.5,1250–1450,https://upload.wikimedia.org/wikipedia/commons/a/a4/Flag_of_the_United_States.svg,https://upload.wikimedia.org/wikipedia/commons/8/84/Wisconsin_Madison_logo.svg
65,Rutgers University‑New Brunswick,USA,https://www.rutgers.edu,"Engineering, Business, Arts","Bachelor’s, Master’s, PhD",6.0–6.5,1200–1400,https://upload.wikimedia.org/wikipedia/commons/a/a4/Flag_of_the_United_States.svg,https://upload.wikimedia.org/wikipedia/commons/5/5e/Rutgers_University_logo.svg
66,Ohio State University,USA,https://www.osu.edu,"Business, Engineering, Medicine","Bachelor’s, Master’s, PhD",6.5–7.0,1250–1450,https://upload.wikimedia.org/wikipedia/commons/a/a4/Flag_of_the_United_States.svg,https://upload.wikimedia.org/wikipedia/commons/f/f9/Ohio_State_logo.svg
67,"University of Maryland, College Park",USA,https://www.umd.edu,"Engineering, Business, IT","Bachelor’s, Master’s, PhD",6.5,1250–1450,https://upload.wikimedia.org/wikipedia/commons/a/a4/Flag_of_the_United_States.svg,https://upload.wikimedia.org/wikipedia/commons/1/12/UMD_logo.svg
68,University of Georgia,USA,https://www.uga.edu,"Business, Environmental Science","Bachelor’s, Master’s, PhD",6.5,1250–1450,https://upload.wikimedia.org/wikipedia/commons/a/a4/Flag_of_the_United_States.svg,https://upload.wikimedia.org/wikipedia/commons/5/5f/UGA_logo.svg
69,Wake Forest University,USA,https://www.wfu.edu,"Business, Law, Arts","Bachelor’s, Master’s, PhD",6.5–7.0,1300–1500,https://upload.wikimedia.org/wikipedia/commons/a/a4/Flag_of_the_United_States.svg,https://upload.wikimedia.org/wikipedia/commons/a/af/Wake_Forest_logo.svg
70,University of Rochester,USA,https://www.rochester.edu,"Engineering, Business, Science","Bachelor’s, Master’s, PhD",6.5–7.0,1300–1500,https://upload.wikimedia.org/wikipedia/commons/a/a4/Flag_of_the_United_States.svg,https://upload.wikimedia.org/wikipedia/commons/0/0e/U_Rochester_logo.svg
71,Boston College,USA,https://www.bc.edu,"Business, Arts, Law","Bachelor’s, Master’s, PhD",6.5–7.0,1300–1500,https://upload.wikimedia.org/wikipedia/commons/a/a4/Flag_of_the_United_States.svg,https://upload.wikimedia.org/wikipedia/commons/8/8f/Boston_College_logo.svg
72,Brandeis University,USA,https://www.brandeis.edu,"Business, Arts, Science","Bachelor’s, Master’s, PhD",6.5,1250–1450,https://upload.wikimedia.org/wikipedia/commons/a/a4/Flag_of_the_United_States.svg,https://upload.wikimedia.org/wikipedia/commons/d/d5/Brandeis_University_logo.svg
73,Case Western Reserve University,USA,https://case.edu,"Engineering, Business, Medicine","Bachelor’s, Master’s, PhD",6.5–7.0,1300–1500,https://upload.wikimedia.org/wikipedia/commons/a/a4/Flag_of_the_United_States.svg,https://upload.wikimedia.org/wikipedia/commons/0/0f/Case_Western_Reserve_logo.svg
74,Clemson University,USA,https://www.clemson.edu,"Engineering, Business, IT","Bachelor’s, Master’s, PhD",6.5,1200–1400,https://upload.wikimedia.org/wikipedia/commons/a/a4/Flag_of_the_United_States.svg,https://upload.wikimedia.org/wikipedia/commons/0/01/Clemson_University_logo.svg
75,Colorado School of Mines,USA,https://www.mines.edu,"Engineering, Earth Science","Bachelor’s, Master’s, PhD",6.5,1250–1450,https://upload.wikimedia.org/wikipedia/commons/a/a4/Flag_of_the_United_States.svg,https://upload.wikimedia.org/wikipedia/commons/3/3c/Colorado_School_of_Mines_logo.svg
76,George Washington University,USA,https://www.gwu.edu,"Law, Business, International Affairs","Bachelor’s, Master’s, PhD",6.5–7.0,1250–1450,https://upload.wikimedia.org/wikipedia/commons/a/a4/Flag_of_the_United_States.svg,https://upload.wikimedia.org/wikipedia/commons/1/1d/GWU_logo.svg
77,Georgetown University,USA,https://www.georgetown.edu,"Law, Business, International Relations","Bachelor’s, Master’s, PhD",7,1350–1520,https://upload.wikimedia.org/wikipedia/commons/a/a4/Flag_of_the_United_States.svg,https://upload.wikimedia.org/wikipedia/commons/8/86/Georgetown_University_logo.svg
78,George Mason University,USA,https://www.gmu.edu,"Business, IT, Law","Bachelor’s, Master’s, PhD",6.5,1200–1400,https://upload.wikimedia.org/wikipedia/commons/a/a4/Flag_of_the_United_States.svg,https://upload.wikimedia.org/wikipedia/commons/2/2c/George_Mason_University_logo.svg
79,Indiana University Bloomington,USA,https://www.indiana.edu,"Business, Law, Arts","Bachelor’s, Master’s, PhD",6.5,1200–1400,https://upload.wikimedia.org/wikipedia/commons/a/a4/Flag_of_the_United_States.svg,https://upload.wikimedia.org/wikipedia/commons/f/f4/Indiana_University_Bloomington_logo.svg
80,Lehigh University,USA,https://www.lehigh.edu,"Engineering, Business, Science","Bachelor’s, Master’s, PhD",6.5,1250–1450,https://upload.wikimedia.org/wikipedia/commons/a/a4/Flag_of_the_United_States.svg,https://upload.wikimedia.org/wikipedia/commons/2/28/Lehigh_University_logo.svg
81,Miami University,USA,https://www.miamioh.edu,"Business, Arts, Education","Bachelor’s, Master’s",6.5,1200–1400,https://upload.wikimedia.org/wikipedia/commons/a/a4/Flag_of_the_United_States.svg,https://upload.wikimedia.org/wikipedia/commons/e/e3/Miami_University_logo.svg
82,Northeastern University,USA,https://www.northeastern.edu,"Business, Computer Science, Engineering","Bachelor’s, Master’s, PhD",6.5,1250–1450,https://upload.wikimedia.org/wikipedia/commons/a/a4/Flag_of_the_United_States.svg,https://upload.wikimedia.org/wikipedia/commons/5/50/Northeastern_University_logo.svg
83,Ohio University,USA,https://www.ohio.edu,"Business, Engineering, Arts","Bachelor’s, Master’s, PhD",6,1100–1300,https://upload.wikimedia.org/wikipedia/commons/a/a4/Flag_of_the_United_States.svg,https://upload.wikimedia.org/wikipedia/commons/4/46/Ohio_University_logo.svg
84,Pepperdine University,USA,https://www.pepperdine.edu,"Business, Law, Psychology","Bachelor’s, Master’s",6.5,1250–1450,https://upload.wikimedia.org/wikipedia/commons/a/a4/Flag_of_the_United_States.svg,https://upload.wikimedia.org/wikipedia/commons/f/f4/Pepperdine_University_logo.svg
85,Purdue University,USA,https://www.purdue.edu,"Engineering, Business, IT","Bachelor’s, Master’s, PhD",6.5–7.0,1250–1450,https://upload.wikimedia.org/wikipedia/commons/a/a4/Flag_of_the_United_States.svg,https://upload.wikimedia.org/wikipedia/commons/4/42/Purdue_University_logo.svg
86,Rice University,USA,https://www.rice.edu,"Engineering, Business, Science","Bachelor’s, Master’s, PhD",7,1400–1550,https://upload.wikimedia.org/wikipedia/commons/a/a4/Flag_of_the_United_States.svg,https://upload.wikimedia.org/wikipedia/commons/3/3f/Rice_University_logo.svg
87,Rochester Institute of Technology (RIT),USA,https://www.rit.edu,"Engineering, IT, Design","Bachelor’s, Master’s, PhD",6.5,1200–1400,https://upload.wikimedia.org/wikipedia/commons/a/a4/Flag_of_the_United_States.svg,https://upload.wikimedia.org/wikipedia/commons/0/0b/RIT_logo.svg
88,Syracuse University,USA,https://www.syracuse.edu,"Communications, Business, Architecture","Bachelor’s, Master’s, PhD",6.5,1200–1400,https://upload.wikimedia.org/wikipedia/commons/a/a4/Flag_of_the_United_States.svg,https://upload.wikimedia.org/wikipedia/commons/1/12/Syracuse_University_logo.svg
89,Texas A&M University,USA,https://www.tamu.edu,"Engineering, Business, Agriculture","Bachelor’s, Master’s, PhD",6.5,1200–1400,https://upload.wikimedia.org/wikipedia/commons/a/a4/Flag_of_the_United_States.svg,https://upload.wikimedia.org/wikipedia/commons/d/d2/Texas_A%26M_University_logo.svg
90,Tufts University,USA,https://www.tufts.edu,"International Relations, Medicine, Business","Bachelor’s, Master’s, PhD",6.5–7.0,1350–1500,https://upload.wikimedia.org/wikipedia/commons/a/a4/Flag_of_the_United_States.svg,https://upload.wikimedia.org/wikipedia/commons/5/51/Tufts_University_logo.svg
91,University of Arizona,USA,https://www.arizona.edu,"Business, Engineering, Science","Bachelor’s, Master’s, PhD",6.5,1200–1400,https://upload.wikimedia.org/wikipedia/commons/a/a4/Flag_of_the_United_States.svg,https://upload.wikimedia.org/wikipedia/commons/d/d7/University_of_Arizona_logo.svg
92,University of Miami,USA,https://www.miami.edu,"Business, Law, Medicine","Bachelor’s, Master’s, PhD",6.5,1250–1450,https://upload.wikimedia.org/wikipedia/commons/a/a4/Flag_of_the_United_States.svg,https://upload.wikimedia.org/wikipedia/commons/2/28/University_of_Miami_logo.svg
93,University of Minnesota,USA,https://www.umn.edu,"Engineering, Business, Medicine","Bachelor’s, Master’s, PhD",6.5,1250–1450,https://upload.wikimedia.org/wikipedia/commons/a/a4/Flag_of_the_United_States.svg,https://upload.wikimedia.org/wikipedia/commons/e/e1/University_of_Minnesota_logo.svg
94,University of Pittsburgh,USA,https://www.pitt.edu,"Medicine, Engineering, Business","Bachelor’s, Master’s, PhD",6.5,1250–1450,https://upload.wikimedia.org/wikipedia/commons/a/a4/Flag_of_the_United_States.svg,https://upload.wikimedia.org/wikipedia/commons/e/e1/University_of_Pittsburgh_logo.svg
